06/09/16 11:49:34:951 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 238488 | >>> Adobe Updater Log Begin >>>
06/09/16 11:49:34:951 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 238488 | Application Version: 9.0.0.3
06/09/16 11:49:34:951 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 238488 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
06/09/16 11:49:34:951 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 238488 | cmdline option: -logLevel = 2
06/09/16 11:49:34:951 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 238488 | <<< Adobe Updater Log End <<<


06/09/16 11:49:46:546 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 239118 | >>> Adobe Updater Log Begin >>>
06/09/16 11:49:46:546 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 239118 | Application Version: 9.0.0.15
06/09/16 11:49:46:546 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 239118 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
06/09/16 11:49:46:546 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 239118 | cmdline option: -logLevel = 2
06/09/16 11:49:46:547 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 239118 | <<< Adobe Updater Log End <<<


06/20/16 08:57:32:661 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | >>> Adobe Updater Log Begin >>>
06/20/16 08:57:32:661 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | Application Version: 9.0.0.15
06/20/16 08:57:32:661 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
06/20/16 08:57:32:661 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | cmdline option: -logLevel = 2
06/20/16 08:57:32:661 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | <<< Adobe Updater Log End <<<


06/20/16 08:57:32:701 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | >>> Adobe Updater Log Begin >>>
06/20/16 08:57:32:701 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | Application Version: 9.0.0.15
06/20/16 08:57:32:701 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
06/20/16 08:57:32:701 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | cmdline option: -logLevel = 2
06/20/16 08:57:32:701 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 1705356 | <<< Adobe Updater Log End <<<


07/11/16 14:02:45:028 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | >>> Adobe Updater Log Begin >>>
07/11/16 14:02:45:028 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | Application Version: 9.0.0.3
07/11/16 14:02:45:028 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
07/11/16 14:02:45:028 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | cmdline option: -logLevel = 2
07/11/16 14:02:45:028 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | <<< Adobe Updater Log End <<<


07/11/16 14:02:45:072 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | >>> Adobe Updater Log Begin >>>
07/11/16 14:02:45:072 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | Application Version: 9.0.0.3
07/11/16 14:02:45:072 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
07/11/16 14:02:45:072 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | cmdline option: -logLevel = 2
07/11/16 14:02:45:072 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5671880 | <<< Adobe Updater Log End <<<


07/11/16 14:03:06:079 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5672440 | >>> Adobe Updater Log Begin >>>
07/11/16 14:03:06:079 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5672440 | Application Version: 9.0.0.15
07/11/16 14:03:06:079 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5672440 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamun.log
07/11/16 14:03:06:079 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5672440 | cmdline option: -logLevel = 2
07/11/16 14:03:06:080 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5672440 | <<< Adobe Updater Log End <<<


07/11/16 14:03:06:121 | [INFO] |  | UPDATER | NOTIFIER |  |  |  | 5672440 | >>> Adobe Updater Log Begin >>>
