 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 2058186.79 sec, current time: 502750537.93)
0.008	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.012	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.012	                       -	                   -	Blocking app contact
0.056	                       -	                   -	Successfully read encryption key from keychain in 0.046642 seconds
0.091	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
0.091	                       -	                   -	server_show_windows_for_asns start
0.091	                       -	                   -	Allowing apps to contact us
0.092	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.092	                       -	                   -	Still waiting for registration from Finder
0.092	                       -	                   -	Liveness: 3 -> 4 (add_app)
0.092	                       -	                   -	Finder not yet launched, but pretending it is
0.092	        com.apple.finder	                   -	Skipping window creation because plist is unavailable: 1
0.092	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.092	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.092	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.092	        com.apple.finder	                   -	Disposing because it has no windows
0.092	        com.apple.finder	            Disposed	
0.092	                       -	                   -	server_show_windows_for_asns end
0.093	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.093	                       -	                   -	Still waiting for registration from Finder
0.157	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.157	                       -	                   -	Still waiting for registration from Finder
0.187	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.187	                       -	                   -	Still waiting for registration from Finder
0.245	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.245	                       -	                   -	Still waiting for registration from Finder
0.261	        com.apple.finder	                   -	Finder checked in
0.261	                       -	                   -	All started apps have registered (no remaining unregistered apps)
0.262	                       -	                   -	TAL Relaunch - all apps registered as ready
0.262	                       -	                   -	Liveness: 4 -> 3 (__server_show_windows_for_asns_block_invoke30)
2.092	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.012	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
15.008	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.008	                       -	                   -	Exiting out of boredom
